quadra;area_construida_vertical_2013;area_construida_vertical_2023;delta_pde
010075;57433.0;57466.0;33.0
010077;26480.0;26480.0;0.0
010078;40549.0;40549.0;0.0
010079;38660.0;38660.0;0.0
010080;26103.0;26103.0;0.0
010081;51432.0;51466.0;34.0
010082;40647.0;40647.0;0.0
010083;79960.0;86509.0;6549.0
010084;12199.0;17588.0;5389.0
010085;19065.0;19065.0;0.0
010086;49932.0;50017.0;85.0
010087;65566.0;65745.0;179.0
010088;67841.0;67859.0;18.0
010091;32524.0;32524.0;0.0
010092;68673.0;68697.0;24.0
010093;55062.0;55062.0;0.0
010094;47636.0;48137.0;501.0
010095;34114.0;34116.0;2.0
010096;133313.0;133344.0;31.0
010097;80727.0;80766.0;39.0
010098;107844.0;107889.0;45.0
010099;35530.0;35530.0;0.0
010101;33426.0;33427.0;1.0
011001;288.0;288.0;0.0
011002;4278.0;4278.0;0.0
011003;3014.0;3014.0;0.0
011005;6018.0;6018.0;0.0
011008;7656.0;7656.0;0.0
011021;890.0;890.0;0.0
011022;20705.0;20705.0;0.0
011024;19278.0;19278.0;0.0
011025;96687.0;96687.0;0.0
011026;74239.0;74239.0;0.0
011048;1488.0;1488.0;0.0
011051;38730.0;39584.0;854.0
011060;4093.0;4233.0;140.0
011061;1962.0;1962.0;0.0
011069;25772.0;45107.0;19335.0
011070;8277.0;44365.0;36088.0
011072;44483.0;44483.0;0.0
011073;15684.0;25672.0;9988.0
011076;3371.0;3371.0;0.0
011087;39836.0;47282.0;7446.0
011089;74032.0;74032.0;0.0
011090;22577.0;22577.0;0.0
011091;133016.0;133043.0;27.0
011099;25309.0;25930.0;621.0
011100;56342.0;56342.0;0.0
011101;98885.0;98885.0;0.0
011112;74851.0;74851.0;0.0
011113;32742.0;32742.0;0.0
011114;48183.0;50151.0;1968.0
011122;54667.0;58232.0;3565.0
011123;112693.0;112759.0;66.0
011124;90457.0;90486.0;29.0
011131;66150.0;68355.0;2205.0
011132;330.0;330.0;0.0
011134;19678.0;19680.0;2.0
011137;11064.0;11064.0;0.0
011150;5487.0;5487.0;0.0
011151;3540.0;3555.0;15.0
011153;1908.0;1908.0;0.0
011157;5722.0;5722.0;0.0
011158;483.0;483.0;0.0
011161;3169.0;3169.0;0.0
012001;6506.0;6506.0;0.0
012002;717.0;717.0;0.0
012003;709.0;17946.0;17237.0
012004;10958.0;10958.0;0.0
012005;5871.0;6008.0;137.0
012007;282.0;282.0;0.0
012010;612.0;612.0;0.0
012013;505.0;505.0;0.0
012014;252.0;252.0;0.0
